year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author
1950,1.269487750556793,5,77.95100222717149,18.262806236080177,2.89532293986637,0.6681514476614699,0.22271714922049,449,359,70.33308476261496
1951,1.3127572016460904,5,75.10288065843622,19.958847736625515,3.7037037037037037,1.02880658436214,0.205761316872428,486,422,56.49653290894623
1952,1.3224489795918368,7,75.10204081632654,19.79591836734694,4.081632653061225,0.20408163265306123,0.8163265306122449,490,437,79.99251707043308
1953,1.3816091954022989,6,70.80459770114942,22.06896551724138,5.747126436781609,1.1494252873563218,0.22988505747126436,435,410,52.76842352572637
1954,1.3698030634573304,5,72.64770240700219,19.474835886214443,6.564551422319475,0.87527352297593,0.437636761487965,457,418,69.18777093315082
1955,1.3921200750469043,7,69.60600375234522,23.639774859287055,5.628517823639775,0.7504690431519699,0.37523452157598497,533,505,80.55649649165255
1956,1.3897338403041826,6,71.29277566539923,20.91254752851711,6.083650190114068,1.3307984790874525,0.38022813688212925,526,502,63.19806838538827
1957,1.368237347294939,10,72.25130890052355,20.767888307155324,5.93368237347295,0.8726003490401396,0.17452006980802792,573,533,65.36382937656823
1958,1.346938775510204,5,75.51020408163265,17.068645640074212,5.009276437847866,2.0408163265306123,0.37105751391465674,539,522,79.75774225774225
1959,1.400337837837838,5,70.10135135135135,22.12837837837838,5.743243243243243,1.6891891891891893,0.33783783783783783,592,566,72.8659397774137
1960,1.4329608938547487,5,68.85474860335195,21.368715083798882,7.82122905027933,1.5363128491620113,0.41899441340782123,716,676,48.953636258527
1961,1.4465592972181551,6,67.05710102489019,24.011713030746705,6.881405563689604,1.4641288433382138,0.5856515373352855,683,656,68.92582333025547
1962,1.4956521739130435,8,65.21739130434783,24.492753623188406,8.115942028985508,1.3043478260869565,0.8695652173913043,690,694,62.198873396987736
1963,1.4831625183016106,6,64.42166910688141,26.061493411420205,7.46705710102489,1.171303074670571,0.8784773060029283,683,698,60.37265842965325
1964,1.6059050064184852,7,57.12451861360719,29.910141206675224,9.242618741976893,2.952503209242619,0.7702182284980744,779,824,62.73245020609798
1965,1.6058951965065502,7,58.51528384279476,28.38427947598253,8.951965065502183,2.947598253275109,1.2008733624454149,916,977,47.32729640510009
1966,1.6156405990016638,12,57.40432612312812,30.033277870216306,8.901830282861896,2.4126455906821964,1.2479201331114809,1202,1250,59.92733064556269
1967,1.6259814418272662,9,58.31548893647395,28.622412562455388,8.565310492505354,2.6409707351891507,1.85581727337616,1401,1515,47.95720283508645
1968,1.6723214285714285,10,54.732142857142854,32.232142857142854,8.392857142857142,2.3214285714285716,2.3214285714285716,1120,1263,52.90956994377943
1969,1.765422077922078,9,50.892857142857146,31.818181818181817,11.2012987012987,3.896103896103896,2.1915584415584415,1232,1500,44.34825320808007
1970,1.7197368421052632,9,53.48684210526316,30.92105263157895,9.605263157894736,3.9473684210526314,2.039473684210526,1520,1810,52.75935627113233
1971,1.868050904219692,14,49.43067649028801,31.74815807099799,10.850636302746148,4.018754186202277,3.9517749497655728,1493,1877,42.7794776915961
1972,1.8867313915857604,24,46.763754045307444,33.17152103559871,11.86623516720604,4.314994606256742,3.883495145631068,1854,2268,38.91622178024355
1973,1.9822926374650514,14,43.15004659832246,34.762348555452,12.767940354147251,4.706430568499534,4.613233923578751,2146,2781,34.28414298808433
1974,2.0470588235294116,15,41.45882352941177,32.8,16.235294117647058,4.8,4.705882352941177,2125,2831,33.25891831803691
1975,2.0761863299956467,17,41.53243360905529,32.868959512407486,14.714845450587724,5.65955594253374,5.22420548541576,2297,2895,35.61090033497117
1976,2.2450278440731903,17,37.15194908512331,33.53221957040573,14.638027048528242,8.07478122513922,6.6030230708035,2514,3200,33.90562182824755
1977,2.212509419743783,29,37.528259231348905,32.81838733986436,15.712132629992464,7.272042200452148,6.669178598342125,2654,3363,31.852832555222633
1978,2.2830327567169673,15,34.412955465587046,33.05115936694884,18.439455281560544,7.029812292970187,7.066617592933382,2717,3408,30.31428551592949
1979,2.3274368231046934,31,33.501805054151625,33.898916967509024,18.19494584837545,7.292418772563177,7.111913357400722,2770,3600,30.82275860028988
1980,2.407520325203252,27,32.486449864498645,33.672086720867206,17.920054200542005,7.757452574525745,8.163956639566395,2952,3873,30.68099625200003
1981,2.5014975041597336,24,31.68053244592346,31.68053244592346,17.90349417637271,9.417637271214643,9.317803660565724,3005,4069,29.18078803715106
1982,2.4821489289357364,31,30.22781366882013,33.219993199591975,18.80312818769126,9.622577354641278,8.126487589255355,2941,4048,31.397126447282673
1983,2.499332888592395,52,28.85256837891928,34.58972648432288,18.77918612408272,9.13942628418946,8.639092728485657,2998,4184,27.183612208763762
1984,2.6361481481481484,29,28.296296296296298,32.08888888888889,19.85185185185185,9.392592592592592,10.37037037037037,3375,4615,23.475462132216812
1985,2.5604325699745547,22,26.14503816793893,34.478371501272264,19.720101781170484,10.05089058524173,9.60559796437659,3144,4539,19.628168221340164
1986,2.62458671475804,30,25.90922753231139,33.333333333333336,19.74752028854824,10.459873760144275,10.55004508566276,3327,5181,23.201974957282925
1987,2.8337692531240917,34,24.266201685556524,31.153734379540833,21.30194710839872,10.403952339436211,12.874164487067713,3441,5931,23.929789721497094
1988,2.673261729790842,26,24.533634821933294,33.408705483323914,21.17015262860373,10.146975692481629,10.740531373657433,3538,5842,19.11382383464036
1989,2.8208219178082192,48,21.753424657534246,33.178082191780824,22.383561643835616,10.712328767123287,11.972602739726028,3650,6443,18.20068894110151
1990,2.8730363121297966,56,20.937419520988925,32.706670100437805,22.27659026525882,11.64048416173062,12.438835951583828,3883,6847,16.663327631288304
1991,3.0195351137487636,64,21.068249258160236,31.008902077151337,23.269040553907022,10.979228486646884,13.67457962413452,4044,7449,16.4640074459409
1992,3.0962833624345225,41,19.955101022698926,30.631080069842852,21.501621351958093,12.67148914941382,15.240708406086306,4009,7412,18.04428734795717
1993,3.319081908190819,125,18.586858685868588,29.882988298829883,22.704770477047706,12.556255625562557,16.26912691269127,4444,8741,13.56348777574019
1994,3.447103274559194,64,17.422334172963897,28.778337531486144,22.145256087321577,13.455079764903443,18.198992443324936,4764,9420,12.974638251585109
1995,3.4193092304584933,50,15.976570389820239,28.55988689153706,23.26802666128055,13.67400525146435,18.521510805897798,4951,9529,10.978909630845276
1996,3.855718475073314,91,15.425219941348974,26.744868035190617,22.717497556207235,13.391984359726296,21.72043010752688,5115,10428,12.071855048049974
1997,3.7461236689706707,64,14.477862880627685,26.134877638707266,22.45469830001868,14.832804035120493,22.099757145525874,5353,11075,10.142666787183607
1998,3.8962464589235126,89,14.19971671388102,25.761331444759207,22.521246458923514,13.314447592067989,24.203257790368273,5648,11881,11.067195474641565
1999,4.061976222958488,89,12.960436562073669,25.277723640615864,21.750146170337167,14.032352367959462,25.979341259013836,5131,11326,10.355529395577095
2000,4.194867886178862,145,14.049796747967479,24.1869918699187,20.426829268292682,14.329268292682928,27.007113821138212,3936,9422,10.781422989564033
2001,4.372461504128543,69,11.894666369114036,23.566168266012053,20.731979468868555,14.550323588484714,29.25686230752064,4481,10788,10.401331755550652
2002,4.427044609665428,192,12.407063197026023,22.351301115241636,20.91078066914498,14.800185873605948,29.530669144981413,4304,10553,9.239301462013202
2003,4.798869319417265,189,11.350293542074365,21.308980213089804,19.96086105675147,15.046749293324636,32.33311589475973,4599,11639,9.794023912903985
2004,4.860166773572803,153,10.198845413726747,20.59012187299551,21.103271327774213,14.817190506735086,33.29057087876844,4677,12145,6.609476672530917
2005,5.236239453595822,154,10.486139011651266,19.967858577742064,20.349537967055042,14.724789071916433,34.47167537163519,4978,12806,9.051488784226072
2006,5.46018593371059,408,9.23605497170574,20.048504446240905,18.633791430881164,15.299110751818917,36.78253839935327,4948,13955,5.921807946574898
